system:index,city,max_rad,mean_rad,median_rad,month,std_rad,sum_rad,system:band_names,system:bands,.geo
1_20240101,Toronto,390.3900146484375,28.85587388196907,3.211497074359874,2024-01,40.995015874797446,102722.83724937953,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240201,Toronto,264.3399963378906,54.01519352053428,47.05326851304367,2024-02,35.04702809839668,192286.46325872274,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240301,Toronto,495.8800048828125,51.03114252330546,44.96662359458433,2024-03,29.986479960413167,181663.66298637597,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240401,Toronto,465.44000244140625,59.3583950223139,50.9822108107407,2024-04,41.80907159133274,211307.5062707285,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240501,Toronto,213.32000732421875,51.70830729883647,45.49932175975735,2024-05,28.4936039233057,184074.27398753335,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240604,Toronto,329.1700134277344,50.53544681358568,42.99453338684769,2024-06,31.311203228520327,179899.05624034433,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240701,Toronto,242.02999877929688,50.02836564202683,42.47001302452662,2024-07,29.500930655808283,178093.91885752493,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240801,Toronto,179.69000244140625,48.30050026613566,41.56866397372983,2024-08,26.283854030986788,171942.96205328777,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20240901,Toronto,208.92999267578125,47.8671650066346,41.43421633639933,2024-09,26.95032129372027,170400.34970620653,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20241001,Toronto,304.04998779296875,48.09288040990585,40.979892268705946,2024-10,28.74516374714401,171203.8646761482,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20241101,Toronto,679.9199829101562,54.064935768321256,45.94522910097991,2024-11,38.522298608129795,192463.53863840937,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20241201,Toronto,306.20001220703125,55.14883552073906,48.98010920670801,2024-12,35.10025008339466,196322.06873587525,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20250101,Toronto,455.260009765625,65.72076967568537,56.980848278495166,2025-01,42.66555101123613,233956.66181913286,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20250201,Toronto,408.260009765625,82.53215559794357,74.9339997201139,2025-02,53.23123931573306,293802.82233024185,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20250301,Toronto,243.27000427246094,41.973986166158475,39.49880235545129,2025-03,39.23547460099917,149421.46501230076,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240101,Mississauga,362.19000244140625,29.644429791978915,0.0,2024-01,56.29606643302269,47874.82409271914,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240201,Mississauga,206.82000732421875,51.43566147878509,38.441174302420876,2024-02,35.03548988667125,83066.97962042682,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240301,Mississauga,210.88999938964844,47.32927394167024,35.46502752664103,2024-03,31.204675629809497,76435.29257583062,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240401,Mississauga,236.83999633789062,50.14995226955348,38.468715173568086,2024-04,35.08855198224831,80990.59958349295,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240501,Mississauga,196.77999877929688,46.26573571245086,36.42009747526966,2024-05,29.902484470320974,74717.71170154656,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240604,Mississauga,209.5,46.67826808775474,35.566499900817874,2024-06,32.12946167819098,75383.93854547016,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240701,Mississauga,201.74000549316406,47.017359592301,35.49639830279937,2024-07,31.909291504518848,75931.56068714752,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240801,Mississauga,172.44000244140625,45.04943301320804,34.38088346816727,2024-08,28.79989455399712,72753.42100078546,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20240901,Mississauga,178.17999267578125,44.60083229521046,34.45360466015467,2024-09,28.751937470902654,72028.94491496739,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20241001,Mississauga,173.9600067138672,43.62131874798158,33.58600025177002,2024-10,29.433823469970694,70447.06126602953,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20241101,Mississauga,187.38999938964844,49.899037095177405,38.31044612901277,2024-11,34.079273086806424,80585.3794487242,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20241201,Mississauga,214.88999938964844,49.210896406024375,38.42750291184826,2024-12,33.95150517370078,79474.05382446956,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20250101,Mississauga,285.5199890136719,44.62198499707429,32.97684551507336,2025-01,45.441892967833326,72063.1058648633,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20250201,Mississauga,336.05999755859375,65.12780238014531,52.99931703843096,2025-02,52.41847383125023,105179.35761876196,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20250301,Mississauga,229.3800048828125,36.78008908339357,29.428341035680763,2025-03,31.180540221565938,59398.68998453289,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
